Date;Open;High;Low;Close;Adj Close;Volume
11.09.2015;4770729980;4822339844;4763149902;4822339844;4822339844;1686190000
14.09.2015;4831979980;4832000000;4791080078;4805759766;4805759766;1467740000
15.09.2015;4819319824;4872350098;4802089844;4860520020;4860520020;1587460000
16.09.2015;4860430176;4893439941;4848149902;4889240234;4889240234;1666380000
17.09.2015;4884109863;4960870117;4880500000;4893950195;4893950195;1891510000
18.09.2015;4828709961;4878709961;4819089844;4827229980;4827229980;3272150000
21.09.2015;4851979980;4881459961;4795910156;4828950195;4828950195;2021530000
22.09.2015;4762290039;4776279785;4716910156;4756720215;4756720215;2042880000
23.09.2015;4764689941;4780640137;4735129883;4752740234;4752740234;1606330000
24.09.2015;4717890137;4746209961;4670120117;4734479980;4734479980;1995820000
25.09.2015;4782410156;4785220215;4659479980;4686500000;4686500000;2050530000
28.09.2015;4665060059;4665209961;4529410156;4543970215;4543970215;2387610000
29.09.2015;4551040039;4596060059;4487060059;4517319824;4517319824;2293450000
30.09.2015;4574379883;4620160156;4559180176;4620160156;4620160156;2398350000
1.10.2015;4624459961;4628229980;4559209961;4627080078;4627080078;2133990000
2.10.2015;4566129883;4707779785;4552339844;4707779785;4707779785;2183320000
5.10.2015;4742129883;4785910156;4740240234;4781259766;4781259766;2005320000
6.10.2015;4767629883;4783370117;4711790039;4748359863;4748359863;2085020000
7.10.2015;4775049805;4791149902;4728709961;4791149902;4791149902;2149890000
8.10.2015;4775060059;4819069824;4737930176;4810790039;4810790039;1984230000
9.10.2015;4817279785;4841379883;4804589844;4830470215;4830470215;1804260000
12.10.2015;4839790039;4846740234;4818169922;4838640137;4838640137;1343820000
13.10.2015;4809240234;4858279785;4793919922;4796609863;4796609863;1565060000
14.10.2015;4801350098;4820089844;4771620117;4782850098;4782850098;1902460000
15.10.2015;4799430176;4870100098;4795290039;4870100098;4870100098;1942900000
16.10.2015;4872359863;4886950195;4851279785;4886689941;4886689941;1855290000
19.10.2015;4873540039;4915490234;4865830078;4905470215;4905470215;1619920000
20.10.2015;4900020020;4909370117;4866600098;4880970215;4880970215;1711700000
21.10.2015;4903979980;4904850098;4836459961;4840120117;4840120117;1895390000
22.10.2015;4875959961;4926990234;4861799805;4920049805;4920049805;2156040000
23.10.2015;5024379883;5048549805;4999540039;5031859863;5031859863;2178270000
26.10.2015;5030799805;5045160156;5012740234;5034700195;5034700195;1758690000
27.10.2015;5018990234;5040080078;5009069824;5030149902;5030149902;1986840000
28.10.2015;5040379883;5095689941;5019600098;5095689941;5095689941;2141130000
29.10.2015;5071040039;5084629883;5066890137;5074270020;5074270020;1928310000
30.10.2015;5079759766;5085220215;5053750000;5053750000;5053750000;2016390000
2.11.2015;5065640137;5130509766;5061470215;5127149902;5127149902;1888180000
3.11.2015;5114310059;5163470215;5109680176;5145129883;5145129883;2028630000
4.11.2015;5155620117;5162569824;5122779785;5142479980;5142479980;2096110000
5.11.2015;5144149902;5154859863;5098490234;5127740234;5127740234;2054490000
6.11.2015;5124040039;5147120117;5092870117;5147120117;5147120117;2066430000
9.11.2015;5128939941;5133439941;5066100098;5095299805;5095299805;1850770000
10.11.2015;5068549805;5086879883;5051220215;5083240234;5083240234;1906120000
11.11.2015;5098129883;5111189941;5066680176;5067020020;5067020020;1672340000
12.11.2015;5043100098;5062490234;5004459961;5005080078;5005080078;1820930000
13.11.2015;4980859863;4989060059;4925350098;4927879883;4927879883;2001050000
16.11.2015;4916140137;4984910156;4908660156;4984620117;4984620117;1819190000
